,fund,department,class_id,total2016,total2017,total2018,total
268,Grants Revenue Fund,Streets,Personal Services,720000,1035000,1123000,1355000
269,Grants Revenue Fund,Streets,Personal Services,720000,1035000,76000,1355000
270,Grants Revenue Fund,Streets,Purchase of Services,31905144,19111000,25320000,16540000
271,Grants Revenue Fund,Streets,"Materials, Supplies, and Equipment",1849856,4604000,6109000,5884000
272,Grants Revenue Fund,Fire,Personal Services,9491996,15584447,10796111,11241685
273,Grants Revenue Fund,Fire,Personal Services,9491996,15584447,1253630,11241685
274,Grants Revenue Fund,Fire,Personal Services,9491996,15584447,10796111,1145012
275,Grants Revenue Fund,Fire,Personal Services,9491996,15584447,1253630,1145012
276,Grants Revenue Fund,Fire,Purchase of Services,1388014,6300019,6852077,5445189
277,Grants Revenue Fund,Fire,"Materials, Supplies, and Equipment",223348,934732,1122244,2313262
278,Grants Revenue Fund,Public Health,Personal Services,15358732,15472454,13540000,19043038
279,Grants Revenue Fund,Public Health,Personal Services,15358732,15472454,4626000,19043038
280,Grants Revenue Fund,Public Health,Personal Services,15358732,15472454,13540000,4297637
281,Grants Revenue Fund,Public Health,Personal Services,15358732,15472454,4626000,4297637
282,Grants Revenue Fund,Public Health,Purchase of Services,56755608,65216029,92322478,107060965
283,Grants Revenue Fund,Public Health,"Materials, Supplies, and Equipment",1059693,2229209,2931782,22930926
284,Grants Revenue Fund,Public Health,Payments to Other Funds,865555,771376,1038500,879732
285,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Personal Services,,,,17132274
286,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Personal Services,,,,8070519
287,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Purchase of Services,,,,246507560
288,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,"Materials, Supplies, and Equipment",,,,250000
289,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Payments to Other Funds,,,,84707
290,Grants Revenue Fund,Parks and Recreation,Personal Services,3836352,3664199,3174931,3337979
291,Grants Revenue Fund,Parks and Recreation,Personal Services,3836352,3664199,529754,3337979
292,Grants Revenue Fund,Parks and Recreation,Personal Services,3836352,3664199,3174931,592471
293,Grants Revenue Fund,Parks and Recreation,Personal Services,3836352,3664199,529754,592471
294,Grants Revenue Fund,Parks and Recreation,Purchase of Services,922703,1627045,1580486,1937709
295,Grants Revenue Fund,Parks and Recreation,"Materials, Supplies, and Equipment",6335874,6846240,7146383,7346383
296,Grants Revenue Fund,Human Services,Personal Services,116949046,119978925,79596553,81613995
297,Grants Revenue Fund,Human Services,Personal Services,116949046,119978925,38409779,81613995
298,Grants Revenue Fund,Human Services,Personal Services,116949046,119978925,79596553,38485241
299,Grants Revenue Fund,Human Services,Personal Services,116949046,119978925,38409779,38485241
300,Grants Revenue Fund,Human Services,Personal Services,116949046,119978925,79596553,1805966
301,Grants Revenue Fund,Human Services,Personal Services,116949046,119978925,38409779,1805966
302,Grants Revenue Fund,Human Services,Purchase of Services,451172464,446146244,469945854,484484329
303,Grants Revenue Fund,Human Services,Purchase of Services,451172464,446146244,469945854,41873415
304,Grants Revenue Fund,Human Services,"Materials, Supplies, and Equipment",1337197,1833876,2082114,3929155
305,Grants Revenue Fund,Human Services,"Materials, Supplies, and Equipment",1337197,1833876,2082114,1021376
306,Grants Revenue Fund,Finance,Advances and Other Misc Payments,,203800585,200001455,250000678
307,Grants Revenue Fund,Procurement,Purchase of Services,,,,3000
308,Grants Revenue Fund,Commerce,Purchase of Services,,10292701,10150000,10000000
309,Grants Revenue Fund,Law,Purchase of Services,,,,200000
310,Grants Revenue Fund,Office of Sustainability,Personal Services,40000,40000,50000,50000
311,Grants Revenue Fund,Office of Sustainability,Purchase of Services,,,,168673
312,Grants Revenue Fund,Free Library,Personal Services,1226084,1152961,979580,1144106
313,Grants Revenue Fund,Free Library,Personal Services,1226084,1152961,207306,1144106
314,Grants Revenue Fund,Free Library,Personal Services,1226084,1152961,979580,128255
315,Grants Revenue Fund,Free Library,Personal Services,1226084,1152961,207306,128255
316,Grants Revenue Fund,Free Library,Purchase of Services,3921223,3739590,4036551,4040285
317,Grants Revenue Fund,Free Library,"Materials, Supplies, and Equipment",3221883,3378378,3601478,3301157
318,Grants Revenue Fund,Auditing,Purchase of Services,,,,200000
319,Grants Revenue Fund,Register of Wills,"Materials, Supplies, and Equipment",,,200000,200000
320,Grants Revenue Fund,District Attorney,Personal Services,15475000,14949628,14591956,9504069
321,Grants Revenue Fund,District Attorney,Personal Services,15475000,14949628,620990,9504069
322,Grants Revenue Fund,District Attorney,Personal Services,15475000,14949628,14591956,645000
323,Grants Revenue Fund,District Attorney,Personal Services,15475000,14949628,620990,645000
324,Grants Revenue Fund,District Attorney,Purchase of Services,1124880,1020850,951473,4421800
325,Grants Revenue Fund,District Attorney,"Materials, Supplies, and Equipment",26000,61550,79050,2281160
326,Grants Revenue Fund,Mayor - Planning and Development,Personal Services,,,,90000
327,Grants Revenue Fund,Mayor - Planning and Development,Purchase of Services,,,,56168222
328,Grants Revenue Fund,City Commissioners,Personal Services,100000,100000,100000,125000
329,Grants Revenue Fund,City Commissioners,Purchase of Services,600000,600000,600000,600000
330,Grants Revenue Fund,City Commissioners,"Materials, Supplies, and Equipment",100000,200000,200000,200000
331,Grants Revenue Fund,First Judicial District,Personal Services,50715911,41669189,26220190,28700216
332,Grants Revenue Fund,First Judicial District,Personal Services,50715911,41669189,14377509,28700216
333,Grants Revenue Fund,First Judicial District,Personal Services,50715911,41669189,26220190,14703283
334,Grants Revenue Fund,First Judicial District,Personal Services,50715911,41669189,14377509,14703283
335,Grants Revenue Fund,First Judicial District,Purchase of Services,6775539,5404400,6596489,6334462
336,Grants Revenue Fund,First Judicial District,"Materials, Supplies, and Equipment",491967,536595,2829396,2388110
337,Aviation Fund,Office of Innovation and Technology,Personal Services,297690,257908,780000,940000
338,Aviation Fund,Office of Innovation and Technology,Purchase of Services,8607358,9024238,10520163,1223089
339,Aviation Fund,Fleet Management,Personal Services,1364188,1364188,1407759,1514839
340,Aviation Fund,Fleet Management,Purchase of Services,588000,588000,588000,588000
341,Aviation Fund,Fleet Management,"Materials, Supplies, and Equipment",1453000,6293000,1493000,1493000
342,Aviation Fund,Fleet Management,"Materials, Supplies, and Equipment",1453000,6293000,4800000,1493000
343,Aviation Fund,Fleet Management,"Materials, Supplies, and Equipment",1453000,6293000,1493000,4800000
344,Aviation Fund,Fleet Management,"Materials, Supplies, and Equipment",1453000,6293000,4800000,4800000
345,Aviation Fund,Police,Purchase of Services,77500,77500,77500,77500
346,Aviation Fund,Police,"Materials, Supplies, and Equipment",93000,93000,93000,93000
347,Aviation Fund,Fire,Personal Services,6563366,6563366,8494457,7608574
348,Aviation Fund,Fire,Purchase of Services,15000,15000,15000,15000
349,Aviation Fund,Fire,"Materials, Supplies, and Equipment",85000,125000,402700,155900
350,Aviation Fund,Fire,Payments to Other Funds,23000,23000,23000,23000
351,Aviation Fund,Public Property,Purchase of Services,26900000,26900000,26900000,26900000
352,Aviation Fund,Finance,Purchase of Services,4146000,4146000,4146000,4146000
353,Aviation Fund,Finance - Employee Benefits,Personal Services,57194271,59194271,62129873,63950249
354,Aviation Fund,Finance - Indemnities,"Contributions, Indemnities, Refunds, and Taxes",2512000,2512000,2512000,2512000
355,Aviation Fund,Sinking Fund Commission (Debt Service),Debt Service,123505128,139626331,159426123,163801936
356,Aviation Fund,Commerce,Personal Services,,47716649,49755783,51000000
357,Aviation Fund,Commerce,Purchase of Services,,103125441,99153000,107000000
358,Aviation Fund,Commerce,"Materials, Supplies, and Equipment",,13896000,11785000,11500000
359,Aviation Fund,Commerce,"Contributions, Indemnities, Refunds, and Taxes",,4205000,6002500,6300000
360,Aviation Fund,Commerce,Payments to Other Funds,,24625000,14625000,24000000
361,Aviation Fund,Law,Personal Services,1563803,1563803,1563803,1563803
362,Aviation Fund,Office of Sustainability,Personal Services,63873,63873,63873,63873
363,Aviation Fund,Office of Sustainability,Purchase of Services,30000,30000,30000,30000
364,Community Development Fund,Mayor - Planning and Development,Personal Services,,,,4708736
365,Community Development Fund,Mayor - Planning and Development,Purchase of Services,,,,56675441
366,Community Development Fund,Mayor - Planning and Development,"Materials, Supplies, and Equipment",,,,256000
367,Community Development Fund,Mayor - Planning and Development,Payments to Other Funds,,,,25000
368,Community Development Fund,Licenses and Inspections,Personal Services,514818,514818,514818,514818
369,Community Development Fund,Finance - Employee Benefits,Personal Services,4236559,4082031,4275040,4152814
370,Community Development Fund,Finance,Advances and Other Misc Payments,,20000000,10000000,20000000
371,Community Development Fund,Commerce,Personal Services,935454,935454,1140312,969818
372,Community Development Fund,Commerce,Purchase of Services,8461248,5707501,7945000,8479800
373,Community Development Fund,Commerce,"Materials, Supplies, and Equipment",3000,8000,3000,3000
374,Community Development Fund,Law,Personal Services,154637,154637,195573,195573
375,Car Rental Tax Fund,Sinking Fund Commission (Debt Service),Purchase of Services,6000000,6000000,7000000,7000000
376,Municipal Pension Fund,Board of Pensions,Personal Services,,,3931000,4195000
377,Municipal Pension Fund,Board of Pensions,Personal Services,,,3713000,4195000
378,Municipal Pension Fund,Board of Pensions,Personal Services,,,3931000,3918000
379,Municipal Pension Fund,Board of Pensions,Personal Services,,,3713000,3918000
380,Municipal Pension Fund,Board of Pensions,Purchase of Services,,,2267000,2194000
381,Municipal Pension Fund,Board of Pensions,"Materials, Supplies, and Equipment",,,138000,165000
382,Municipal Pension Fund,Board of Pensions,Payments to Other Funds,,,125000,90000
383,Housing Trust Fund,Mayor - Planning and Development,Personal Services,,,,1250000
384,Housing Trust Fund,Mayor - Planning and Development,Purchase of Services,,,,38750000
385,Acute Care Hospital Fund,Public Health,Personal Services,,,,5393408
386,Acute Care Hospital Fund,Public Health,Purchase of Services,,,,5980000
387,Acute Care Hospital Fund,Public Health,Purchase of Services,,,,149000000
388,Acute Care Hospital Fund,Public Health,"Materials, Supplies, and Equipment",,,,1339000
389,Acute Care Hospital Fund,Public Health,Payments to Other Funds,,,,500000
390,Acute Care Hospital Fund,Finance,Personal Services,,,,75000
391,Acute Care Hospital Fund,Finance - Employee Benefits,Personal Services,,,,267592
392,Acute Care Hospital Fund,Revenue,Personal Services,,,,30000
393,Acute Care Hospital Fund,Revenue,"Materials, Supplies, and Equipment",,,,15000
394,General Fund,Mayor - Office of Community Schools & Universal Pre - K,Personal Services,,1302500,2679927,
395,General Fund,Mayor - Office of Community Schools & Universal Pre - K,Purchase of Services,,27750000,39407000,
396,General Fund,Mayor - Office of Community Schools & Universal Pre - K,"Materials, Supplies, and Equipment",,400000,364750,
397,General Fund,Mayor - Office of Community Schools & Universal Pre - K,"Contributions, Indemnities, Refunds, and Taxes",,250000,100000,
398,General Fund,Planning and Development,Personal Services,,,3899308,
399,General Fund,Planning and Development,Purchase of Services,,,2845113,
400,General Fund,Planning and Development,"Materials, Supplies, and Equipment",,,101461,
401,General Fund,Planning and Development,"Contributions, Indemnities, Refunds, and Taxes",,,850000,
402,General Fund,Fire,Payments to Other Funds,8847226,7647000,7972000,
403,General Fund,Office of Behavioral Health and Intellectual Disabilities,Personal Services,1000066,1010566,1093064,
404,General Fund,Office of Behavioral Health and Intellectual Disabilities,Purchase of Services,12875510,12875510,13125510,
405,General Fund,Office of Homeless Services,Personal Services,,,8802194,
406,General Fund,Office of Homeless Services,Purchase of Services,,,38669215,
407,General Fund,Office of Homeless Services,"Materials, Supplies, and Equipment",,,344127,
408,General Fund,Office of Homeless Services,"Contributions, Indemnities, Refunds, and Taxes",,,32421,
409,Water Fund,"Water - Philadelphia Water, Sewer, and Stormwater Rate Board",Personal Services,,,120000,
410,Water Fund,"Water - Philadelphia Water, Sewer, and Stormwater Rate Board",Purchase of Services,,,850000,
411,Health Choices Behavioral Health Fund,Office of Behavioral Health and Intellectual Disabilities,Purchase of Services,960002000,1300350000,1298400000,
412,Health Choices Behavioral Health Fund,Office of Behavioral Health and Intellectual Disabilities,Payments to Other Funds,1500000,1600000,1600000,
413,Grants Revenue Fund,Office of Innovation and Technology,"Materials, Supplies, and Equipment",,10450,451871,
414,Grants Revenue Fund,Planning and Development,Personal Services,,,90000,
415,Grants Revenue Fund,Planning and Development,Purchase of Services,,,88486222,
416,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Personal Services,23142889,23935379,16796254,
417,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Personal Services,23142889,23935379,7984251,
418,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Purchase of Services,231221587,237182673,245869088,
419,Community Development Fund,Planning and Development,Purchase of Services,,,53092975,
420,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,"Materials, Supplies, and Equipment",221250,290000,285000,
421,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Payments to Other Funds,76248,79010,83081,
422,Grants Revenue Fund,Parks and Recreation,"Contributions, Indemnities, Refunds, and Taxes",110000,100000,100000,
423,Grants Revenue Fund,Office of Homeless Services,Personal Services,,,1228201,
424,Grants Revenue Fund,Office of Homeless Services,Purchase of Services,,,44652107,
425,Grants Revenue Fund,Office of Homeless Services,"Materials, Supplies, and Equipment",,,1000000,
426,Grants Revenue Fund,Prisons,Purchase of Services,30000,30000,250000,
427,Grants Revenue Fund,Office of Arts and Culture,Purchase of Services,,,25000,
428,Grants Revenue Fund,Auditing,"Materials, Supplies, and Equipment",74999,249999,249999,
429,Aviation Fund,Office of Innovation and Technology,"Materials, Supplies, and Equipment",,720000,720000,
430,Aviation Fund,Law,Purchase of Services,432439,432439,432439,
431,Aviation Fund,Law,"Materials, Supplies, and Equipment",9557,24357,24357,
432,Community Development Fund,Planning and Development,Personal Services,,,4726282,
433,Community Development Fund,Planning and Development,"Materials, Supplies, and Equipment",,,261000,
434,Community Development Fund,Planning and Development,Payments to Other Funds,,,25000,
435,Housing Trust Fund,Planning and Development,Personal Services,,,1250000,
436,Housing Trust Fund,Planning and Development,Purchase of Services,,,26250000,
437,Acute Care Hospital Assessment Fund,Public Health,Personal Services,5058008,3992653,4400969,
438,Acute Care Hospital Assessment Fund,Public Health,Purchase of Services,155638915,154174083,6690795,
439,Acute Care Hospital Assessment Fund,Public Health,Purchase of Services,155638915,154174083,149000000,
440,Acute Care Hospital Assessment Fund,Public Health,"Materials, Supplies, and Equipment",21000,81000,547000,
441,Acute Care Hospital Assessment Fund,Public Health,Payments to Other Funds,2000000,1500000,500000,
442,Acute Care Hospital Assessment Fund,Finance,Personal Services,75000,75000,75000,
443,Acute Care Hospital Assessment Fund,Finance - Employee Benefits,Personal Services,268077,268264,268236,
444,Acute Care Hospital Assessment Fund,Revenue,Personal Services,30000,30000,30000,
445,Acute Care Hospital Assessment Fund,Revenue,"Materials, Supplies, and Equipment",5000,15000,15000,
446,Community Development Fund,City Planning Commission,Personal Services,280000,280000,,
447,Community Development Fund,Office of Housing and Community Development,Personal Services,4632873,4395140,,
448,Community Development Fund,Office of Housing and Community Development,Purchase of Services,54626411,56430419,,
449,Community Development Fund,Office of Housing and Community Development,"Materials, Supplies, and Equipment",231000,271000,,
450,Community Development Fund,Office of Housing and Community Development,Payments to Other Funds,30000,25000,,
451,General Fund,Atwater Kent Museum,Purchase of Services,,0,,
452,General Fund,Auditing,"Contributions, Indemnities, Refunds, and Taxes",,0,,
453,General Fund,City Planning Commission,Personal Services,2309534,2369484,,
454,General Fund,City Planning Commission,Purchase of Services,79592,129592,,
455,General Fund,City Planning Commission,"Materials, Supplies, and Equipment",40652,40652,,
456,General Fund,District Attorney,"Contributions, Indemnities, Refunds, and Taxes",,0,,
457,General Fund,Fire,"Contributions, Indemnities, Refunds, and Taxes",,0,,
458,General Fund,First Judicial District,"Contributions, Indemnities, Refunds, and Taxes",,0,,
459,General Fund,Fleet Management,"Contributions, Indemnities, Refunds, and Taxes",,0,,
460,General Fund,Free Library,"Contributions, Indemnities, Refunds, and Taxes",,0,,
461,General Fund,Historical Commission,Personal Services,422771,429943,,
462,General Fund,Historical Commission,Purchase of Services,980,980,,
463,General Fund,Historical Commission,"Materials, Supplies, and Equipment",809,809,,
464,General Fund,L&I  - Zoning Board of Adjustment,Personal Services,337749,337749,,
465,General Fund,L&I  - Zoning Board of Adjustment,Purchase of Services,34541,34541,,
466,General Fund,Law,"Contributions, Indemnities, Refunds, and Taxes",,0,,
467,General Fund,Licenses and Inspections,"Contributions, Indemnities, Refunds, and Taxes",,0,,
468,General Fund,Managing Director's Office,"Contributions, Indemnities, Refunds, and Taxes",,0,,
469,General Fund,Mayor's Office,"Contributions, Indemnities, Refunds, and Taxes",,0,,
470,General Fund,Mayor's Office of Transportation & Utilities,Personal Services,474340,0,,
471,General Fund,Mayor's Office of Transportation & Utilities,Purchase of Services,259930,0,,
472,General Fund,Office of Housing and Community Development,Purchase of Services,2520000,2865000,,
473,General Fund,Office of Housing and Community Development,Payments to Other Funds,,0,,
474,General Fund,Office of Innovation and Technology,"Contributions, Indemnities, Refunds, and Taxes",,0,,
475,General Fund,Office of Supportive Housing,Personal Services,8281213,8636443,,
476,General Fund,Office of Supportive Housing,Purchase of Services,36586621,37044215,,
477,General Fund,Office of Supportive Housing,"Materials, Supplies, and Equipment",344127,344127,,
478,General Fund,Office of Supportive Housing,"Contributions, Indemnities, Refunds, and Taxes",32421,32421,,
479,General Fund,Police,"Contributions, Indemnities, Refunds, and Taxes",,0,,
480,General Fund,Procurement,"Contributions, Indemnities, Refunds, and Taxes",,0,,
481,General Fund,Public Health,"Contributions, Indemnities, Refunds, and Taxes",,0,,
482,General Fund,Public Property,"Contributions, Indemnities, Refunds, and Taxes",,0,,
483,General Fund,Revenue,"Contributions, Indemnities, Refunds, and Taxes",,0,,
484,General Fund,Sheriff,"Contributions, Indemnities, Refunds, and Taxes",,0,,
485,General Fund,Streets,Payments to Other Funds,,0,,
486,General Fund,Youth Commission,Personal Services,92660,0,,
487,General Fund,Youth Commission,Purchase of Services,46000,0,,
488,General Fund,Youth Commission,"Materials, Supplies, and Equipment",4080,0,,
489,Grants Revenue Fund,City Planning Commission,Personal Services,475261,123204,,
490,Grants Revenue Fund,City Planning Commission,Purchase of Services,955206,355144,,
491,Grants Revenue Fund,City Planning Commission,Payments to Other Funds,1600,400,,
492,Grants Revenue Fund,Commerce,Personal Services,,49814,,
493,Grants Revenue Fund,Licenses and Inspections,Purchase of Services,4500000,4500000,,
494,Grants Revenue Fund,Office of Housing and Community Development,Purchase of Services,128117000,116180000,,
495,Grants Revenue Fund,Office of Supportive Housing,Personal Services,710423,610701,,
496,Grants Revenue Fund,Office of Supportive Housing,Purchase of Services,44956142,45842016,,
497,Grants Revenue Fund,Office of Supportive Housing,"Materials, Supplies, and Equipment",887489,1000000,,
498,Health Choices Behavioral Health Fund,Office of Behavioral Health and Intellectual Disabilities,"Materials, Supplies, and Equipment",,50000,,
499,Housing Trust Fund,Office of Housing and Community Development,Personal Services,1250000,1250000,,
500,Housing Trust Fund,Office of Housing and Community Development,Purchase of Services,23250000,22250000,,
501,Water Fund,Law,Equipment,13010,,,
502,Grants Revenue Fund,Police,Equipment,8361852,,,
503,General Fund,Mayor's Office of Community Services (now CEO),Purchase of Services,605000,,,
504,County Liquid Fuels Tax Fund,Streets,Equipment,80000,,,
505,Special Gasoline Tax Fund,Streets,Equipment,5055008,,,
506,Health Choices Behavioral Health Fund,Office of Behavioral Health and Intellectual Disabilities,Equipment,50000,,,
507,Grants Revenue Fund,Auditing,Equipment,175000,,,
508,Grants Revenue Fund,City Commissioners,Equipment,100000,,,
509,Grants Revenue Fund,City Representative,Personal Services,49814,,,
510,Grants Revenue Fund,City Representative,Purchase of Services,10811988,,,
511,Grants Revenue Fund,District Attorney,Equipment,84462,,,
512,Grants Revenue Fund,Finance - Provision for Other Grants,Advances and Other Misc Payments,203800721,,,
513,Grants Revenue Fund,Fire,Equipment,145333,,,
514,Grants Revenue Fund,First Judicial District,Equipment,323512,,,
515,Grants Revenue Fund,Free Library,Equipment,144854,,,
516,Grants Revenue Fund,Human Services,Equipment,1370347,,,
517,Grants Revenue Fund,Managing Director's Office,Equipment,199895,,,
518,Grants Revenue Fund,Mayor's Office,Equipment,2146,,,
519,Grants Revenue Fund,Mayor's Office of Community Services (now CEO),Personal Services,2800644,,,
520,Grants Revenue Fund,Mayor's Office of Community Services (now CEO),Purchase of Services,13075621,,,
521,Grants Revenue Fund,Mayor's Office of Community Services (now CEO),"Materials, Supplies, and Equipment",13125,,,
522,Grants Revenue Fund,Mayor's Office of Community Services (now CEO),Equipment,35000,,,
523,Grants Revenue Fund,Mayor's Office of Transportation & Utilities,Personal Services,127583,,,
524,Grants Revenue Fund,Mayor's Office of Transportation & Utilities,Purchase of Services,1698435,,,
525,Grants Revenue Fund,Mayor's Office of Transportation & Utilities,"Materials, Supplies, and Equipment",2500,,,
526,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Equipment,135940,,,
527,Grants Revenue Fund,Parks and Recreation,Equipment,70000,,,
528,Grants Revenue Fund,Public Health,Equipment,641586,,,
529,Grants Revenue Fund,Streets,Equipment,1755000,,,
530,Community Development Fund,Commerce,Equipment,5000,,,
531,Community Development Fund,Finance - Provision for Other Grants,Advances and Other Misc Payments,20000000,,,
532,Community Development Fund,Office of Housing and Community Development,Equipment,50000,,,
533,Water Fund,Fleet Management,Equipment,60000,,,
534,Water Fund,Mayor's Office of Transportation & Utilities,Personal Services,138550,,,
535,Water Fund,Office of Innovation and Technology,Equipment,1808950,,,
536,Water Fund,Revenue,Equipment,126435,,,
537,Water Fund,Water,Equipment,3398350,,,
538,Aviation Fund,Aviation,Personal Services,46218000,,,
539,Aviation Fund,Aviation,Purchase of Services,96372841,,,
540,Aviation Fund,Aviation,"Materials, Supplies, and Equipment",8720000,,,
541,Aviation Fund,Aviation,Equipment,3330000,,,
542,Aviation Fund,Aviation,"Contributions, Indemnities, Refunds, and Taxes",4205000,,,
543,Aviation Fund,Aviation,Payments to Other Funds,24600000,,,
544,Aviation Fund,Fire,Equipment,40000,,,
545,Aviation Fund,Fleet Management,Equipment,4840000,,,
546,Aviation Fund,Law,Equipment,14800,,,
547,Aviation Fund,Mayor's Office of Transportation & Utilities,Personal Services,191299,,,
548,Aviation Fund,Office of Innovation and Technology,Equipment,715000,,,
549,Acute Care Hospital Assessment Fund,Public Health,Equipment,60000,,,
550,Acute Care Hospital Assessment Fund,Revenue,Equipment,10000,,,
